,Datetime,Tweet Id,Text,Username
24,2022-03-09 17:05:22+00:00,1501605074929610758,"#ManipurElections2022: Even if the BJP wins, chief minister N Biren Singh is expected to face a tough challenge from Thongam Biswajit Singh

5 interesting things to know | #ResultsWithHT  
https://t.co/SFksVbbYgh",htTweets
25,2022-03-09 17:04:20+00:00,1501604814316195843,"All you need to know about the elections in Manipur.
#ManipurElections2022 #manipur #ManipurElection2022 #India 

Read here 👇👇
https://t.co/cDbfai0HqB",CharchaPoli
26,2022-03-09 16:48:30+00:00,1501600829824188420,"#ManipurElections2022: The ruling #BJP has fielded candidates in all the 60 seats, #Congress 53, #NPP &amp; #JDU in 38 seats each, #NPF in 10 seats, RPI (A) &amp; #ShivSena in 9 each, #NCP in 8 seats, 30 independent 
#Manipur  
 https://t.co/jdk3WiGr5g https://t.co/TznR8A3eXD",ukhrultimes
27,2022-03-09 16:45:00+00:00,1501599946583257096,"Watch the Results of Assembly Elections 2022 LIVE on @DDNewslive &amp; Live-Stream on https://t.co/XSIufeZqNS… on March 10, 2022. 
#UttarPradeshElections2022
#PunjabElections2022 
#UttarakhandElections2022 
#ManipurElections2022 
#GoaElections2022 https://t.co/16OBTm8TJZ",DDNational
28,2022-03-09 16:25:34+00:00,1501595057153253376,"कल #EVMPolitics कौन कौन से राज्य में होने वाली है।

#UttarPradeshElections #UttarakhandElections2022 #PunjabElections2022 #ManipurElections2022 #GoaElections2022",alokntyl
29,2022-03-09 16:19:20+00:00,1501593489968332803,"#Ukhrul:  DC Ukhrul said that to maintain law and order, necessary for the smooth &amp; peaceful counting of votes and to tackle any anti-social elements which may lead to disturbances of public tranquility &amp; peaceful counting of votes: #ManipurElections2022

https://t.co/U6f6XHxfw4 https://t.co/AFNW8e6b9o",ukhrultimes
30,2022-03-09 16:10:27+00:00,1501591253292486661,"Do you think exit polls got it right on 5-state polls?

#ExitPoll #ExitPolls #ExitPoll2022 
#UttarPradeshElections2022 #UttarakhandElections2022 #GoaElections2022 #PunjabElections2022 #ManipurElections2022 #YogiAdityanath #BJP #AAP #Congress #SamajwadiParty #AkhileshYadav",Oneindia
31,2022-03-09 15:55:49+00:00,1501587571167883268,"राजतिलक... @Network10Update @sanjay_goswami7 
#UttarPradeshElections #UttarakhandElections2022 #PunjabElections2022 #GoaElections2022 #ManipurElections2022 https://t.co/KXtbBRZRCW",gauravsingh1307
32,2022-03-09 15:54:03+00:00,1501587123996028930,"अगर BJP जीती तो EVM हैक 😧

और कोई दल जीते तो लोकतंत्र की जीत 👍

#AssemblyElections2022 
#UPElectionResult2022 
#PunjabElections2022 
#UttarakhandElections2022 
#ManipurElections2022",iamAjaySinh
33,2022-03-09 15:52:49+00:00,1501586814091800579,"A five-member high-level Congress delegation led by party General Secretary Mukul Wasnik, BJP’s national spokesperson Sambit Patra and JD (U) MPs are camping in Imphal
#ManipurElections2022 
https://t.co/0kpPxQGUm4",NENowNews
34,2022-03-09 15:51:54+00:00,1501586582859829251,"My predictions on tomorrow's counting day for #UttarakhandElections2022 #UttarakhandElections2022 #GoaElections2022 #PunjabElections2022 #ManipurElections2022 

UP - BJP comfortably
UK - BJP has edge
Goa - Hung, Cong has edge
Punjab - Hung, AAP has edge
Manipur - BJP",Amreso99
35,2022-03-09 15:51:08+00:00,1501586393381834757,"#ManipurElections2022  | THE BIG 2022 REFERENDUM

#ExitPoll2022 polls have predicted a hung assembly. #Congress has dispatched three observers, TS Singhdeo, Vincent Pala &amp; Mukul Wasnik in #Manipur as the party fears poaching.

@AfridaRahmanAli &amp; @nibirdeka with more details. https://t.co/GhohRIAGQ3",MirrorNow
36,2022-03-09 15:42:59+00:00,1501584342165995528,#UttarakhandElections2022 | #ManipurElections2022,juvingonsalves
37,2022-03-09 15:39:18+00:00,1501583414457253902,"The counting of #Manipur #GeneralElection votes will be held tomorrow, some people have already lost the privilege of sleeping in their home.
Such is the trauma and social disorder caused by groups of parasites claiming themselves to be a Kuki Nationalist.
#ManipurElections2022",GogouHangshing_
38,2022-03-09 15:37:48+00:00,1501583035581743107,"To all who are going to blame EVM tomorrow - Win Graceful and Lose Humble. Ponder upon the question, Why we lost rather Why they Won? 
Jai Hind 🇮🇳 #UttarPradeshElections2022 #PunjabElections2022 #UttarakhandElections2022 #GoaElections2022 #ManipurElections2022",iamavsp
39,2022-03-09 15:37:04+00:00,1501582850164166656,"कौन हैं एन बीरेन सिंह? जानिए उनके बारे में सब कुछ...

#ManipurElections2022 #ManipurElection2022 #AssemblyElections2022 #India #Elections2022 

https://t.co/tyMahNTq3a",OpoyiHindi
40,2022-03-09 15:33:37+00:00,1501581982689415174,"#TheNews | ""We will definitely form a government with two-third majority"": Manipur Chief Minister N Biren Singh to NDTV

#ManipurElections2022 #NDTVExclusive https://t.co/05HmbaibTT",ndtv
41,2022-03-09 15:25:09+00:00,1501579852230672384,"Watch Y Media Political Sensex- 5 States Election, Results LIVE on Wednesday, March 9 only on Channel Y at 7.30 p.m. 
#ymedia #PunjabElection2022 #UttarPradeshElections2022 #ManipurElections2022 #UttarakhandElections2022 #GoaElections #BJP #AAP #Cong
@YudhvirJaswal https://t.co/tbbawrJnE1",ymediagroup
42,2022-03-09 15:25:04+00:00,1501579833490350086,"Here is when and where you can watch #LIVE counting of votes in #Goa and #Manipur 

#GoaElections2022 #ManipurElections2022 https://t.co/2XTXwQkWw6",ZeeNewsEnglish
43,2022-03-09 15:16:34+00:00,1501577693590331394,"#ResultsWithNewspaper | Manipur CM N Biren Singh contested from #Heingang seat in #ManipurElections2022. He has never lost an election since first contesting in 2002

Elections in Manipur took place in 2 phases and counting of votes to take place tomorrow https://t.co/TS99bWmRIC",NewspaperANI
44,2022-03-09 15:15:00+00:00,1501577297241022464,"#ResultsWithHT | Manipur CM N Biren Singh contested from #Heingang seat in #ManipurElections2022. He has never lost an election since first contesting in 2002

Elections in Manipur took place in 2 phases and counting of votes to take place tomorrow 

https://t.co/ysX2hTlq49 https://t.co/9DirC1TbBJ",htTweets
45,2022-03-09 14:50:00+00:00,1501571005675974659,"#ElectionsWithMint | Here are the candidates with the lowest assets participating in the #ManipurElections2022.

Track all the latest updates related to #ElectionResults👉: https://t.co/KlDLlhBPyR

#AssemblyElections2022 #ResultsWithMint https://t.co/cvmWcQTyWv",livemint
46,2022-03-09 14:41:37+00:00,1501568895806705666,"5 State Election Results 2022 Live Updates:Stage set for counting of votes

#UttarPradeshElections2022 #UttarakhandElections2022 #GoaElections2022 #PunjabElections2022 #ManipurElections2022 #YogiAdityanath #BJP #AAP #Congress #SamajwadiParty #AkhileshYadav
https://t.co/lgBUXRDfdB",Oneindia
47,2022-03-09 14:30:00+00:00,1501565974771748864,"#ElectionsWithMint | Here are the candidates with the highest income participating in the #ManipurElections2022.

Track all the latest updates related to #ElectionResults👉: https://t.co/KlDLlhTqqp…

#AssemblyElections2022 #ResultsWithMint https://t.co/fy2zclXXCI",livemint
48,2022-03-09 14:30:00+00:00,1501565974616559618,"@snigspeak With #Kuki group’s alleged powerplay in favour of #BJP in #AssemblyElections2022, can the group become the kingmaker by helping the party win adequate seats to form a govt entirely on its own? @snigspeak evaluates 

#ManipurElections2022 #ManipurElections
https://t.co/dYiVVq4Cu1 https://t.co/5fQPnzHWBW",Outlookindia
49,2022-03-09 14:19:50+00:00,1501563415940452355,"#Ukhrul: Such an act of terrorism should not be allowed to take root in our community. #ElectionCommission  &amp; the law enforcing agency are expected to investigate the incident, punish the culprit/s at the earliest #Terrorism #ManipurElections2022

https://t.co/Utr36PcOKC https://t.co/ft1MriZkbf",ukhrultimes
50,2022-03-09 14:15:00+00:00,1501562197612404740,"#ManipurElections2022  | ALL EYES ON COUNTING DAY

Ahead of the big counting day, #Congress has dispatched three observers, TS Singhdeo, Vincent Pala, and Mukul Wasnik to Manipur to oversee the post-poll scenarios.  

@nibirdeka reports. https://t.co/Ej6kmB5Fat",MirrorNow
51,2022-03-09 14:15:00+00:00,1501562197604024320,"#ResultsWithHT | Manipur Assembly speaker Y Khemchand Singh contested against Congress heavyweight Irengbam Hemochandra Singh from #Singjamei seat in #ManipurElections2022

Counting of votes to take place tomorrow 

Track full-day coverage - https://t.co/ysX2hTlq49 https://t.co/sYHXqVtih6",htTweets
52,2022-03-09 14:12:25+00:00,1501561546782101507,"#ElectionResults 2022: #EVMs kept under 3-layer security, says #ElectionCommission | Top 10 things to know 
#AssemblyElections2022 #UttarPradeshElections2022 #PunjabElections2022 #UttarakhandElections2022 #GoaElections2022 #ManipurElections2022 
https://t.co/hUMe9RQMzd",indiatvnews
53,2022-03-09 14:00:03+00:00,1501558434885472257,"Watch the Results of Assembly Elections 2022 LIVE on @DDNewslive &amp; Live-Stream on https://t.co/XSIufeZqNS… on March 10, 2022. 
#UttarPradeshElections2022
#PunjabElections2022 
#UttarakhandElections2022 
#ManipurElections2022 
#GoaElections2022 https://t.co/zvJ4wY71Uc",DDNational
54,2022-03-09 13:57:25+00:00,1501557771749113857,"मणिपुर पर सीटवार अपना अनुमान..

#ManipurElections2022
#Manipur 
#manipurwithmodi 
#manipurwithrahul https://t.co/eWcEqoh8y4",amitabh_bhushan
55,2022-03-09 13:48:58+00:00,1501555645597708295,"अपना अनुमान तो यही है।बाकी कल सुबह 6 बजे रात 9 बजे तक विश्लेषण चलता रहेगा। टीवी चैनल पर अपना पता भी बदलता रहेगा।

#ManipurElections2022 
#UPElections2022 
#PunjabElections2022 
#Election2022 
#UttarakhandElections2022 https://t.co/k44E8kJV0I",amitabh_bhushan
56,2022-03-09 13:41:24+00:00,1501553744906895360,"#ManipurElections2022 | Three layer of security cover outside counting centres

NDTV's Ratnadip Choudhury reports

#ElectionsWithNDTV https://t.co/bOGPEFnk7k",ndtv
57,2022-03-09 13:40:00+00:00,1501553389699846152,"अगर राज्यपाल के पाले में गई गेंद: RSS-BJP से जुड़े रहे हैं 5 में से 4 चुनावी राज्यों के गवर्नर, पेच फंसा तो बदल सकते हैं पूरा गेम
https://t.co/bWaI8uNKyB
#ElectionResults #Counting #Governers #UttarPradeshElections2022 #Goa #Uttarakhand #Punjab #ManipurElections2022",DainikBhaskar
